"1,000 Venture Capital Firms",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,VC Firm,Website,Countries,Cities,Industries,Stages,Founded Year,Name of Founders,# of Investments,# of Exits,Min Check Size,Max Check Size,Funds Raised,Contact Information
,Atai,https://www.atai.life/,Germany,Berlin,"Health & Wellness, Healthcare, Biotech","Early Stage, Late Stage, Seed",2018,"Christian Angermayer, Florian Brand, Lars Christian Wilde, Srinivas Rao",4,2,,,"€347,100,000",info@atai.life
,Ataria Ventures,https://atariaventures.com,Peru,Lima,"Agriculture, AI & ML, AR & VR, Food & Beverage, Consumer, Health & Wellness, Big Data & Analytics","Early Stage, Seed, Series A",2017,Alejandro Ponce,45,,"$100,000","$5,000,000","$96,300,000",contact@atariaventures.com
,Atelier Ventures,https://atelierventures.co,USA,Pittsburgh,"Creator Economy, Future of Work",Early Stage,2020,Li Jin,16,,"$100,000","$300,000","$110,000,000",hello@atelierventures.co
,Atinum Investment,https://atinuminvest.co.kr,South Korea,Seoul,"Deep Tech & Hard Science, SaaS, Gaming, Biotech",Early Stage,1988,Ki Chun Shin,51,3,,,,master@atinuminvest.co.kr
,Atlantic Labs,https://atlanticlabs.de,Germany,Berlin,"Future of Work, Big Data & Analytics, Transportation, Healthcare, Fintech, Proptech & Real Estate, Robotics, Social","Early Stage, Seed",2008,Christophe Maire,48,14,,"€5,000,000",,info@atlanticlabs.de
,Atlas Venture,https://atlasventure.com,USA,Cambridge,"Biotech, Healthcare, Life Sciences","Early Stage, Late Stage, Seed",1980,Michiel De Haan,570,172,"$750,000","$2,000,000","$3,600,000,000",lifesciences@atlasventure.com
,Atomico Ventures,https://atomico.com/,United Kingdom,London,"Enterprise, Consumer, Automation, Industrial, Food & Beverage, Internet & Mobile, Fintech, Health & Wellness, Transportation, Climate & Sustainability","Early Stage, Late Stage, Private Equity",2006,Niklas Zennström,206,38,"£250,000","£1,000,000","£2,300,000,000",contact@atomico.com
,Atwater Capital,https://atwater-capital.com,USA,Los Angeles,"Media, Entertainment",Late Stage,2016,Vania Schlogel,6,3,,,,
,August Capital,https://augustcap.com,USA,San Francisco,"Consumer, Enterprise, AI & ML, Crypto & Blockchain, DTC, E-Commerce, Supply Chain & Logistics, IoT, Marketplace, Cloud, SaaS, Hardware, Social, Media, Advertising","Early Stage, Late Stage, Seed",1995,"David Marquardt, John Johnston",283,79,"$400,000","$1,500,000","$1,400,000,000",businessplans@augustcap.com
,Austin Ventures,https://austinventures.com,USA,Austin,"Fintech, Healthcare, Industrial, Enterprise, Hardware, Internet & Mobile, SaaS","Early Stage, Late Stage, Seed, Private Equity",1984,"Joe Aragona, Ken Deangelis",393,116,"$500,000",,"$4,400,000,000",khughes@austinventures.com
,AutoTech Ventures,https://autotechvc.com,USA,San Francisco,"Transportation, Deep Tech & Hard Science, AI & ML, Marketplace, Fintech, SaaS","Early Stage, Seed, Series A, Series B, Series C",2015,"Alexei Andreev, Dominique Houde, Quin Garcia",59,9,"$1,000,000","$8,000,000","$30,000,000",info@autotechvc.com
,AV8 Ventures,https://av8.vc,USA,Palo Alto,"AI & ML, Enterprise, Robotics, Deep Tech & Hard Science, Fintech, Healthcare","Seed, Series A",2018,George Ugras,42,2,,,"$180,000,000",info@av8.vc
,Avalancha Ventures,https://avalancha.ventures/,Mexico,Mexico City,"Productivity, Fintech, Supply Chain & Logistics, Education, SaaS","Early Stage, Seed",2015,"Lorenzo Garza, Rodrigo Ocejo",24,3,"$50,000","$2,000,000","$15,000,000",info@avalancha.ventures
,Avestria Ventures,https://avestria.vc,USA,San Francisco,"Health & Wellness, Life Sciences, Healthcare",Early Stage,2018,Linda Greub Cfa,28,3,,,"$50,000,000",eva@avestria.vc
,AXA Venture Partners,https://axavp.com,"France, United Kingdom, Singapore, USA","Paris, London, Singapore, San Francisco, New York","InsurTech, Fintech, Healthcare, Enterprise, Consumer, SaaS","Early Stage, Late Stage",2015,Imran Akram,47,7,"$300,000","$20,000,000","$1,200,000,000",sebastien@axavp.com
,Axeleo Capital,https://axc.vc,France,Paris,"Cybersecurity, Internet & Mobile, Proptech & Real Estate, Enterprise, Fintech, InsurTech, Supply Chain & Logistics, Infrastructure, Marketing","Early Stage, Seed, Pre-Seed, Series A, Series B",2017,"Eric Burdier, Mathieu Viallard",58,9,"€100,000","€5,000,000",,contact@axc.vc
,Axia8 Ventures,http://www.axia8.com/,China,Shanghai,Crypto & Blockchain,"Early Stage, Seed",2020,Wayne Lin,55,0,,,,investment@axia8.com
,Axivate Capital,https://axivate.com,Netherlands,Amsterdam,"Media, E-Commerce, Travel & Hospitality, Internet & Mobile","Seed, Early Stage",2012,Bas Rasker,41,17,"€1,000,000","€5,000,000",,info@axivate.com
,Axon Partners Group,https://axonpartnersgroup.com,Spain,Madrid,"Energy, Healthcare, Life Sciences, Deep Tech & Hard Science",Early Stage,1999,Javier Cebrián Monereo,50,17,,,"$40,000,000",marketing@axonpartnersgroup.com
,Azure Capital Partners,https://azurecap.com,USA,San Francisco,"Consumer, Enterprise, DTC, SaaS","Early Stage, Late Stage, Seed",2000,"Cameron Lester, Mike Kwatinetz, Paul Ferris, Paul Weinstein",167,39,,,"$10,200,000",info@azurecap.com
,B7,https://www.b7ventures.com/,United Kingdom,Manchester,"Supply Chain & Logistics, DTC","Other, Late Stage",2012,"Richard Shonn, Ben Shapiro",3,1,,,"£17,000,000",info@b7ventures.com
,Babel Ventures,https://www.babel.ventures/,USA,San Francisco,"Consumer, Food & Beverage, DTC, Health & Wellness, Biotech, Deep Tech & Hard Science",Early Stage,2017,Ba Minuzzi,31,3,"$100,000","$3,000,000","$26,000,000",deal-flow@umana.family
,Backbone Ventures,https://www.backboneventures.ch/,Switzerland,Zürich,"Food & Beverage, Internet & Mobile, Climate & Sustainability, Enterprise, Health & Wellness, Consumer","Seed, Pre-Seed, Early Stage",2018,"Philippe Bernet, Miklos Stanek",31,3,,,"$40,000,000",hello@bbventures.ch
,Backed VC,https://www.backed.vc/,United Kingdom,London,"Biotech, Entertainment, Industrial, Food & Beverage, Crypto & Blockchain, Enterprise, Future of Work, Deep Tech & Hard Science, Manufacturing, Fintech","Seed, Series A",2015,"Andre De Haes, Alex Brunicki",75,10,"£500,000","£2,500,000","£169,700,000",
,Backstage Capital,https://backstagecapital.com,USA,Los Angeles,"AI & ML, AR & VR, Enterprise, Consumer, Crypto & Blockchain, E-Commerce, Education, Fintech, Food & Beverage, Future of Work, Government Technology, Hardware, Healthcare, IoT, Marketplace, Media, Proptech & Real Estate, SaaS, Social, Travel & Hospitality, Automative, Sports, Human Resources","Early Stage, Seed, Pre-Seed, Series A",2015,Arlan Hamilton,200,3,"$100,000",,,
,Badhouse Ventures,https://badhouse.ca,Canada,Vancouver,"SaaS, Big Data & Analytics, Cybersecurity, Climate & Sustainability, Crypto & Blockchain","Early Stage, Pre-Seed",2020,"Bijan Vaez, Ralph Baddour",7,1,,"$100,000",,
,Bain Capital Ventures,https://baincapitalventures.com,USA,"Boston, New York, San Francisco, Palo Alto","E-Commerce, Fintech, Biotech, Enterprise, Deep Tech & Hard Science, SaaS, Developer Tools, API, Infrastructure","Early Stage, Seed, Late Stage",1984,"James Nahirny, Michael Krupka",570,117,"$1,000,000","$100,000,000","$6,100,000,000",bcv@baincapitalventures.com
,Balderton Capital,https://balderton.com,United Kingdom,London,"Healthcare, Cybersecurity, E-Commerce, Food & Beverage, Entertainment, Mobility, Fintech, SaaS","Early Stage, Late Stage, Seed, Debt, Private Equity",2000,"Bernard Liautaud, Daniel Waterhouse, Suranga Chandratillake, James Wise, Rob Moffat",376,73,"£150,000","£500,000","£5,000,000,000",inbound@balderton.com
,Baroda Ventures,https://barodaventures.com,USA,Beverly,"Consumer, E-Commerce, Internet & Mobile, SaaS, Media, Crypto & Blockchain","Pre-Seed, Seed",1998,David Bohnett,78,37,"$100,000","$1,000,000","$5,000,000",information@barodaventures.com
,Barrel Ventures,https://barrelvc.com,USA,Chicago,"Food & Beverage, Consumer, Supply Chain & Logistics, DTC",Seed,2019,Nate Cooper,20,1,,,,investments@barrelvc.com
,Base10 Partners,https://base10.vc/,USA,San Francisco,"AI & ML, Supply Chain & Logistics, SaaS, Healthcare, Food & Beverage, Automation, Enterprise, Fintech","Seed, Early Stage",2017,"Adeyemi Ajao, Tj Nahigian",118,10,"$500,000","$5,000,000","$460,000,000",partners@base10.vc
,Basis Set Venture,https://www.basisset.com/,USA,San Francisco,"AI & ML, Automation, Developer Tools, Productivity, API","Seed, Early Stage",2017,Dr. Lan Xuezhao,65,5,"$1,000,000","$3,000,000","$165,000,000",
,Bass Investment,https://bassinvestment.com,South Korea,Seoul,"E-Commerce, SaaS, Entertainment, Fintech, AI & ML, Social, Healthcare, Deep Tech & Hard Science, Proptech & Real Estate, Gaming, Crypto & Blockchain","Early Stage, Series A, Seed, Series B",2017,"Daniel Shin, Jeong-In Hong, Jun-Year Kang",19,1,,,"$150,000,000",
,Battery Ventures,https://battery.com,"USA, Israel, United Kingdom","Boston, San Francisco, Tel Aviv-Yafo, London, New York","Life Sciences, Industrial, Consumer, Cybersecurity, Cloud, Devops, AI & ML, Fintech, Healthcare, Infrastructure","Early Stage, Late Stage, Seed, Debt, Private Equity",1983,Rick Frisbie,810,197,"$1,000,000","$500,000,000","$17,700,000,000",+1 (617) 948-3600
,Battle Born Venture,https://battlebornventure.com,USA,"Las Vegas, Reno","Healthcare, Government Technology, Travel & Hospitality, Gaming, Climate & Sustainability, Supply Chain & Logistics, Energy, Manufacturing","Early Stage, Pre-Seed, Seed, Late Stage, Growth",2013,Erik Lee,14,5,"$40,000","$200,000","$5,000,000",grbortolin@diversifynevada.com
,BBG Ventures,https://bbgventures.com,USA,New York,"Health & Wellness, Future of Work, Education, Climate & Sustainability, Consumer","Seed, Pre-Seed",2014,"Susan Lyne, Nisha Dua",129,30,"$500,000","$1,000,000",,hello@bbgventures.com
,BCF Ventures,https://bcfventures.vc,Canada,Montréal,"Cloud, SaaS, Enterprise, AI & ML, Healthcare, Transportation, Supply Chain & Logistics, Big Data & Analytics, Cybersecurity, Legal","Seed, Series A",2018,"Anne-Marie Boucher, Sergio A. Escobar",15,3,,"$125,000","$1,200,000",info@bcfventures.vc
,BDC Venture Capital,https://www.bdc.ca/en/bdc-capital/venture-capital,"Canada, USA","Montréal, Wakefield, Worcester, Bedford, Hartford, Portland, Providence","Healthcare, Climate & Sustainability, AI & ML, Robotics, Food & Beverage, Industrial, Supply Chain & Logistics, Proptech & Real Estate, Aerospace & Space, Cloud, Enterprise, IoT, Cybersecurity, Big Data & Analytics, SaaS, Manufacturing, Energy, Agriculture","Late Stage, Early Stage, Seed, Series A, Series B",1975,,509,117,,,"$605,000,000",
,BECO Capital,https://becocapital.com,United Arab Emirates,Dubai,"Consumer, Enterprise, Fintech, Healthcare, Crypto & Blockchain","Seed, Series A, Series B, Early Stage",2012,,90,11,"$250,000","$2,000,000","$100,000,000",hello@becocapital.com
,Benchmark Capital,http://www.benchmark.com/,USA,"San Francisco, Woodside","Cybersecurity, Hardware, Social, Marketplace, Cloud, Consumer, DTC, Infrastructure, SaaS","Early Stage, Seed",1995,"Bob Kagle, Bruce Dunlevie Andy Rachleff, Kevin Harvey",799,313,"$1,000,000","$15,000,000","$2,500,000,000",pfenton@benchmark.com
,Beringea,https://beringea.com,United Kingdom,London,"Manufacturing, Climate & Sustainability, Enterprise, Consumer, Healthcare, Media, SaaS","Series A, Growth",1999,"Susan Mcdonald, John Glenncross",297,136,"£1,000,000","£20,000,000","£64,000,000",info@beringea.com
,Bessemer Venture Partners,https://bvp.com,"USA, India, Israel, United Kingdom","San Francisco, Boston, New York, Bangalore, Tel Aviv-Yafo, London, Larchmont","Consumer, Enterprise, Healthcare, Cloud","Early Stage, Late Stage",1911,Henry Phipps,1267,284,"$2,000,000","$8,000,000","$9,700,000,000",businessplans@bvp.com
,BGF (Business Growth Fund),https://www.bgf.co.uk/,"United Kingdom, Ireland","Aberdeen, Belfast, Birmingham, Bristol, Cambridge, Caerdydd, Cork, Dublin, Edinburgh, Leeds, London, Manchester, Milton Keynes, Newcastle, Nottingham, Reading","Deep Tech & Hard Science, AI & ML, E-Commerce, Education, Food & Beverage, Healthcare, Life Sciences, Media, Climate & Sustainability, Travel & Hospitality, Consumer, DTC, Energy, Infrastructure, Construction","Early Stage, Debt, Private Equity",2011,Stephen Welton,381,70,"£1,000,000","£8,000,000","£597,300,000",enquiries@businessgrowthfund.co.uk
,Bio Generation Ventures (BGV),https://biogenerationventures.com/en/,Netherlands,Naarden,"Biotech, Healthcare, Life Sciences",Early Stage,2006,Edward Van Wezel,29,8,,,"€267,300,000",info@biogeneration.vc
,BITKRAFT Ventures,https://bitkraft.vc,USA,Denver,"Gaming, AR & VR, Entertainment, Crypto & Blockchain","Seed, Early Stage, Series A, Series B",2017,"Jens Hilgers, Malte Barth, Markus Fuhrmann, Scott Rupp",135,7,"$2,000,000","$5,000,000","$247,600,000",pitch@bitkraft.vc
,Black Pearls VC,https://blackpearls.vc,Poland,Gdańsk,"Deep Tech & Hard Science, Healthcare, Enterprise, Fintech, Future of Work, SaaS","Pre-Seed, Seed, Series A",2008,Marcin Kowalik,68,17,"€100,000","€1,000,000",,office@blackpearls.vc
,Blackbird Ventures,https://blackbird.vc/,"Australia, New Zealand","Auckland, Melbourne, Sydney","Enterprise, Deep Tech & Hard Science, Healthcare, Hardware, Education, Consumer","Seed, Early Stage, Growth, IPO",2012,"Bill Bartee, Larry Marshall, Niki Scevak, Richard Baker",199,10,"$150,000","$7,000,000","$791,700,000",contact@blackbird.vc
,Blazar Capital,https://blazarcapital.com,Denmark,Copenhagen,"Consumer, E-Commerce, Food & Beverage, DTC",Series A,2017,"Pascar Sivam, Vasilij Brandt, Christian Arnstedt",30,5,,,"$29,600,000",hello@blazarcapital.com
,Blenheim Chalcot,https://www.blenheimchalcot.com/,"India, USA, United Kingdom, South Africa","Mumbai, London, Cape Town, St. Petersburg","Industrial, Government Technology, Internet & Mobile, Education, Fintech, Media, Proptech & Real Estate, Sports",Early Stage,1998,"Charles Mindenhall, Manoj Badale",58,24,,,"£400,000,000",info@blenheimchalcot.com
,Bleu Capital,https://www.bleucap.com/,USA,New York,"AI & ML, Marketplace, Consumer, Hardware, SaaS","Early Stage, Seed, Pre-Seed",2015,Jean Pierre Chessé,23,6,"$100,000","$500,000",,julien@bleucap.com
,Bling Capital,https://blingcap.com,USA,San Francisco,"Consumer, Internet & Mobile, Marketplace, Fintech, SaaS, Automation, Big Data & Analytics",Seed,2018,Benjamin Ling,81,2,,"$1,000,000","$125,900,000",
,Blisce,https://blisce.com,"USA, France","Paris, New York","Consumer, DTC","Late Stage, Growth",2013,Alexandre Mars,31,15,"$10,000,000","$30,000,000","$150,000,000",contact@blisce.com&subject=Contact
,Blockrocket,https://blockrocket.io,Germany,Frankfurt,Crypto & Blockchain,"Early Stage, Seed",2019,Benjamin Horvath,10,,"€100,000","€500,000",,hello@blockrocket.io
,Blume Ventures,https://blume.vc,India,Mumbai,"Biotech, E-Commerce, Deep Tech & Hard Science, Education, Fintech, Future of Work, Gaming, Healthcare, Media, Supply Chain & Logistics, Proptech & Real Estate, SaaS, Travel & Hospitality, Climate & Sustainability, Agriculture","Early Stage, Pre-Seed, Seed, Series A",2011,"Karthik Reddy, Rob Blum, Sanjay Nath",154,24,"$50,000","$250,000","$280,000,000",info@blume.vc
,bmp Ventures,https://www.bmp.com/,Germany,"Berlin, Magdeburg","Internet & Mobile, Life Sciences, Consumer, E-Commerce, Developer Tools, SaaS, Climate & Sustainability, Industrial","Seed, Early Stage, Late Stage, Series A, Growth",1997,Oliver Borrmann,250,120,"€1,500,000","€3,000,000","€508,800,000",info@bmp.com
,BMW i Ventures,https://bmwiventures.com,"USA, Germany","Mountain View, San Francisco, Munich","Hardware, Transportation, Climate & Sustainability, AI & ML, Manufacturing","Seed, Early Stage",2011,"Marcus Behrendt, Kasper Sage",109,26,,,"$930,000,000",
,BoldStart Ventures,https://boldstart.vc,USA,"New York, Miami","SaaS, Cybersecurity, Crypto & Blockchain, API, Developer Tools","Seed, Early Stage, Late Stage",2010,Ed Sim,176,41,"$500,000","$5,000,000","$192,000,000",
,Bon Angels,https://bonangels.net,South Korea,Seoul,"Gaming, Education, AI & ML, Proptech & Real Estate, Crypto & Blockchain, Healthcare, Health & Wellness, SaaS",Early Stage,2007,Simon Seokheun Kang,230,28,,,"$197,400,000",bonangels@bonangels.net
,Bonfire Ventures,https://www.bonfirevc.com/,USA,"Santa Monica, Santa Barbara","Crypto & Blockchain, Future of Work, Transportation, Supply Chain & Logistics, E-Commerce, SaaS, Enterprise, Government Technology, Industrial, Cloud, Healthcare",Seed,2017,"Mark Mullen, Jim Andelman",86,3,"$2,000,000","$3,000,000","$421,000,000",info@bonfirevc.com
,Bonsai Venture Capital,https://bonsaiventurecapital.com,"Turkey, Belgium, Spain, Saudi Arabia, Colombia","Riyadh, Brussels, Madrid, Istanbul, Bogotá, Medellín","Gaming, Fintech, Healthcare, Cybersecurity, Travel & Hospitality","Early Stage, Growth",2006,Alfonso De León,63,38,"€250,000","€2,500,000","€3,500,000",
,BoostVC,https://boost.vc,USA,San Mateo,"Aerospace & Space, Energy, Climate & Sustainability, Robotics, Crypto & Blockchain, Biotech, AR & VR",Pre-Seed,2012,"Adam Draper, Brayton Williams",423,132,,"$500,000","$85,200,000",apply@boost.vc
,Bossa Nova Investimentos,https://bossainvest.com,Brazil,São Paulo,"Internet & Mobile, E-Commerce, Crypto & Blockchain, Fintech, SaaS, Developer Tools, Advertising","Early Stage, Seed",2011,"João Kepler, Pierre Schurmann",668,46,"R$100,000","R$1,500,000","R$965,000,000",acesso@bossainvest.com
,Box Group,https://boxgroup.com,USA,New York,"Consumer, Enterprise, Fintech, Healthcare, Marketplace, Crypto & Blockchain, Climate & Sustainability","Seed, Pre-Seed, Series A",2008,David Tisch,642,178,"$250,000","$1,000,000","$255,000,000",hello@boxgroup.com
,Bpifrance,https://bpifrance-creation.fr,France,Paris,"SaaS, Marketplace, Deep Tech & Hard Science, Fintech, Consumer, Healthcare, Biotech","Seed, Series A, Series B",2012,Mailys Ferrere,34,5,"€200,000","€10,000,000","€700,000,000",F3A@bpifrance.fr
,Brandon Capital,https://brandoncapital.vc,"Australia, USA, United Kingdom","Melbourne, Sydney, San Francisco, London","Health & Wellness, Healthcare, Biotech","Early Stage, Late Stage, Seed",2006,"Chris Nave, Stephen Thompson",35,3,,,"$404,500,000",info@brandoncapital.com.au
,Breakout Ventures,https://www.breakout.vc/,USA,San Francisco,"Biotech, Healthcare, Life Sciences, Industrial, Climate & Sustainability","Early Stage, Seed",2016,"Lindy Fishburne, Julia Moore",26,2,,,"$112,500,000",contact@breakout.vc
,Brickyard,https://justlaybrick.com,USA,Chattanooga,"Marketplace, AI & ML, E-Commerce, Crypto & Blockchain, Marketing","Pre-Seed, Seed",2021,"Allan Davis, Barry Large, Cameron Doody, Matt Patterson, Ted Alling",5,,"$150,000","$300,000",,masons@justlaybrick.com
,Bridgelane,https://bridgelane.com.au/venture-capital,"Australia, Argentina","Sydney, Buenos Aires","AI & ML, Marketplace, Proptech & Real Estate","Early Stage, Seed, Series A",2009,Markus Kahlbetzer,18,3,,,"AU$40,000,000",info@bridgelane.com.au
,Brightly Ventures,https://brightlyventures.com,Sweden,Stockholm,"Fintech, Gaming, Healthcare, AI & ML",Early Stage,2018,Kerstin Cooley,29,2,,,"$570,000,000",john@brightlyventures.com
