Accelerator / Incubator,Website,Country,City,Industries,Founders,Founded Date,Number of Investments,Number of Exits
Sputnik ATX,http://www.sputnikatx.com,United States,Austin,"Beauty, FinTech, AI, SaaS, Ecommerce, Gaming, Mobile, HRtech, Health, B2B","Joe Merrill, Oksana Mindyuk Malysheva",2017,55,
H2 Ventures,http://h2.vc,Australia,Sydney,"FinTech, Data, AI","Ben Heap, Toby Heap",2013,55,2
Bigbang Angels,http://bigbangangels.com,South Korea,Seoul,"AI, AgTech, Healthcare",Michael Hwang,2012,55,
Binance,https://www.bnbchain.org/en/developers/developer-programs,Malta,Valletta,Blockchain,"Changpeng Zhao, Yi He",2017,54,1
Hackquarters,http://www.hackquarters.co,Turkey,Istanbul,"Agriculture, Sustainability Energy",Kaan Akın,2015,54,1
Dreamit Healthtech,https://www.dreamit.com/healthtech,United States,New York,"HealthTech, Medical Device",,,54,7
Pario Ventures,http://www.parioventures.com,United Kingdom,London,"Oil, Gas, Blockchain, Fashion, Sustainability Automotive, Technology, Bars, Restaurants, FinTech","David Murray-Hundley, Kevin Doyle",2010,54,10
Business Finland,https://www.businessfinland.fi/,Finland,Helsinki,Industry Agnostic,,2018,54,6
43North,http://www.43north.org/,United States,Buffalo,"Life Sciences, Software, Cleantech, Consumer Goods",,2014,53,4
Imagine K12,http://www.imaginek12.com,United States,Redwood City,EdTech,"Alan Louie, Geoff Ralston, Nolan Amy, Tim Brady",2011,53,10
LongHash Ventures,https://www.longhash.vc/accelerator/,Singapore,Singapore,"Defi, Gamefi, DAO",Emma Cui,2018,52,1
Financial Solutions Lab,http://finlab.finhealthnetwork.org/,United States,Chicago,FinTech,Jennifer Tescher,2014,52,6
Alibaba Entrepreneurs Fund,http://www.ent-fund.org/en/global/home,Hong Kong,Causeway Bay,"AI, FinTech, Gaming, IoT, MedTech, Proptech, REdTech, Media, Green Tech, Biotech",Andrew Lee,2015,52,
Darwin Startups,http://darwinstartups.com.br/,Brazil,Florianópolis,"Enterprise, FinTech",Marcos Mueller,2015,52,3
RevTech Labs,https://www.revtechlabs.co/,United States,Charlotte,"Mobile, Software, FinTech, InsurTech",Dan Roselli,2011,52,1
Pittsburgh Life Sciences Greenhouse,http://www.plsg.com,United States,Pittsburgh,"Life Sciences, HealthTech",,2001,52,5
Digital Attraxion,https://www.digital-attraxion.com,Belgium,Charleroi,"Consumer, Travel, Hospitality Tech",,2016,52,
50 Partners,http://www.50partners.fr,France,Paris,"HealthTech, MedTech, Biotech","Charles Fourault, Jerome Masurel",2012,52,4
Conector Startup Accelerator,http://www.conector.com,Spain,Barcelona,Technology,"Carlos Blanco, Elisabeth Martinez Guardiola, Gerard Olive, Marc Ros, Marc Vidal, Risto Mejide",2013,52,2
JITO Angel Network,https://jitojiif.com,India,Mumbai,"Mobility, Media, FinTech, Healthcare, Fashion, AI, Travel, EdTech, IoT, AgTech, Social Commerce, Renewable Water, Technology",siddharth jain,2017,51,
Disney Accelerator,http://disneyaccelerator.com/,United States,Los Angeles,Technology,,2014,51,7
Founders Future,http://www.foundersfuture.com,France,Paris,"Technology, Digital",Marc Menase,2018,51,1
Startup Lisboa,http://www.startuplisboa.com/,Portugal,Lisboa,"Sportech, Technology, Impact, Tourism, Mobility",,2011,51,1
Plug and Play Spain,https://www.plugandplaytechcenter.com/,Spain,Paterna,"AgTech, Animal Health, Retail, Crypto, Energy, Enterprise, FinTech, Food, Health, InsurTech, IoT, Maritime, Media, Mobility, Real Estate, Travel","Alberto Gutiérrez, Juan-Luis Hortelano, Ruben Colomer, Saeed Amidi",2012,51,5
Deepcore,http://deepcore.jp/,Japan,Tokyo,"Technology, AI",Yutaka Matsuo,2005,50,1
K5 Ventures,http://k5ventures.com/,United States,Newport Beach,Technology,"Amir Banifatemi, Ray Chan",2011,50,8
ic@3401,http://www.ic3401.org/,United States,Philadelphia,"Software, HealthTech, EdTech, Information Technology, Healthcare",,,50,10
AlleyCorp,https://alleycorp.com/,United States,New York,"Technology, Robotics, Social Impact","Dwight Merriman, Kevin Ryan",2007,49,4
Spring Accelerator,https://www.springaccelerator.org/,Kenya,Nairobi,"Energy, Information, Communication Technology, Agriculture, Education, Climate, Health",,2015,49,2
Via ID,http://www.via-id.com/,France,Marquette Lez Lille,"Consumer, Transportation, Logistics Tech",,2010,49,4
Next Media Accelerator,https://nma.vc/,Germany,Hamburg,"Consumer Services, Information Technology, SaaS","Dirk Herzbach, Nico Lumma",2015,49,3
Accelerace,http://www.accelerace.io,Denmark,Copenhagen,"Technology, Life Sciences, FoodTech, Cleantech, Healthcare, MedTech, Biotech",Peter Torstensen,2008,48,7
South Carolina Research Authority,http://www.scra.org/,United States,Columbia,"High Tech, Research",,1983,47,5
DIFC Fintech Hive,https://innovationhub.difc.ae/,United Arab Emirates,Dubai,"FinTech, Technology",,2017,47,4
Arena Ventures,http://arenavc.com,United States,West Hollywood,Industry Agnostic,"Jeff Lo, Paige Craig",2015,47,13
IIM Calcutta Innovation Park,http://www.iimcip.org/,India,Kolkata,"Agriculture, Automobile, Beauty, Data Analytics, Design, Education, Fashion, FinTech, Health",,,47,
Slater Technology Fund,http://www.slaterfund.com,United States,Providence,Technology,Lincoln Almond,1997,46,7
Techstars Toronto Accelerator,https://www.techstars.com/programs/toronto-program/,Canada,Toronto,Industry Agnostic,,2006,46,3
"Techstars Atlanta, COX Enterprises Social Impact Accelerator",http://www.techstars.com/programs/atlanta-program/,United States,Atlanta,Industry Agnostic,,2006,46,8
TURN8,http://www.turn8.co/,United Arab Emirates,Dubai,"HealthTech, FinTech, Transportation, Logistics, SaaS, Smart Cities, AI, IoT",,2013,46,1
Open Data Incubator for Europe,https://opendataincubator.eu/,Germany,Berlin,Open Data,,2015,46,2
Lighthouse Labs RVA,http://www.lighthouselabsrva.com,United States,Richmond,"EdTech, HealthTech, FinTech, Retail, Sustainability",Todd Nuckols,2012,45,1
MassChallenge Israel,https://masschallenge.org/programs-israel,Israel,Jerusalem,"FinTech, HealthTech",,2010,45,
Techstars Anywhere Accelerator,https://www.techstars.com/programs/anywhere-program/,United States,Boulder,Industry Agnostic,,,45,
eLab Accelerator,http://www.elabstartup.com,United States,Ithaca,Industry Agnostic,,2008,45,2
Hubraum,http://hubraum.com,Germany,Berlin,"Entertainment, VR, AR, Consumer, IoT",,2012,45,6
Data Pitch,https://datapitch.eu/,United Kingdom,London,"Transport, Healthcare, Education, Tourism, Sports, Retail",,2017,45,1
TandemLaunch,http://www.tandemlaunch.com,Canada,Montréal,"Hardware, Audio Technology, Computer Vision, AI",Helge Seetzen,2010,44,3
InnoSpring Seed Fund,http://www.innospringseedfund.com/,United States,Palo Alto,Technology,"Eugene Zhang, Xiao Wang",2012,44,13
TheVentureCity,https://theventure.city/en/our-city/venture-capital-fund-theventurecity/,United States,Miami,"eSports, Logistics, Supply Chain Tech, Social Networks, Regtech, Proptech, Legaltech, InsurTech, Infrastructure, Hospitality, Traveltech, HR, HealthTech, Fitness, Gaming, FoodTech, FinTech, SaaS, Femtech, Events, EdTech, Ecommerce, Productivity Tools, Cyber Security, Cloud, Climate Tech, VR, AR, AgTech, AI","Clara Bullrich, Laura Gonzalez-Estefani",2017,43,2
Techstars Farm to Fork Accelerator,https://www.techstars.com/farm-to-fork-program/,United States,Saint Paul,FoodTech,"Brett Brohl, Jessica Stalbaum",2018,43,
CIIE.CO,http://www.ciie.co/,India,Ahmedabad,Cleantech,Kunal Upadhyay,2007,43,1
9Mile Labs,http://www.9milelabs.com,United States,Seattle,Industry Agnostic,"Kevin Croy, Kevin Croy, Sandy Sharma, Sanjay Puri, Tom Casey",2013,43,2
Accelerating Asia,https://acceleratingasia.com/,Singapore,Singapore,"AI, AgTech, Clean Energy, Data Science, Dating, EdTech, Software, Entertainment, Fashion, FinTech, HRtech, HealthTech, Hospitality, InsurTech, IoT, Logistics, Martech, SaaS, Marketplaces, MedTech, Mobility, Proptech, RetailTech, Telecommunications, Transport, Travel Tech, Ecommerce","Amra Naidoo, Craig Dixon",2018,42,
Falak Startups,http://falakstartups.com/,Egypt,Cairo,"Technology, FinTech",,2018,42,1
WE Hub,http://wehub.telangana.gov.in/,India,Hyderabad,Industry Agnostic,,2018,42,
Rose Tech Ventures,http://rose.vc,United States,New York,"Productivity Software, Electronics, Application Software, Real Estate, Healthcare",,2001,42,12
eFounders,https://www.efounders.com/,France,Paris,"FinTech, Web3","Quentin Nickmans, Thibaud Elziere",2011,42,5
Mola.com,http://www.mola.com,Spain,Palma De Mallorca,Technology,"Enrique Dubois, Paco Gimena",2011,42,2
Finnovista,http://www.finnovista.com/,Spain,Madrid,"Enterprise, FinTech","Andres Fontao, Fermin Bueno",2013,42,1
Startup Sesame,https://www.startupsesame.com/,France,Paris,"Information Technology, Network Security","Ben Costantini, Joanna Kirk, Moojan Asghari",2015,42,2
Tech2b Incubator,http://tech2b.at/,Austria,Linz,Technology,,,42,2
SURGE Accelerator,http://www.surgeaccelerator.com,United States,Houston,Software,Kirk Coburn,2011,41,2
LaunchHouse,http://www.launchhouse.com,United States,Highland,Technology,,2010,41,
Centro de Incubação de Évora,https://www.anje.pt/linc/evora,Portugal,Évora,"Information Services, Information Technology, Mobile Apps, Social Media, Software",,2011,41,1
Startup Braga,http://startupbraga.com/,Portugal,Braga,"Biotech, Digital Economy, Nanotech, Sustainability, HealthTech",,2014,41,
ProMontreal Entrepreneurs,http://www.promontrealentrepreneurs.org/,Canada,Montréal,"Healthcare, Information Technology, Wellness, Fitness",,2000,40,2
The Yield Lab,http://www.theyieldlab.com/,United States,St Louis,"Agri Food, AgTech",Thad Simons,2014,40,2
25madison,http://25madison.com/,United States,New York,"Software, FinTech, Healthcare","Gary Ginsberg, Kirk Posmantur, Lance West, Matt Fremont-Smith, Michael Lynton, Steven Price",2017,40,
Google for Startups,https://startup.google.com/,United States,Mountain View,Technology,Board Member,2011,40,2
Techstars Montreal AI Accelerator,https://www.techstars.com/programs/montreal-ai-program/,Canada,Montréal,AI,,,40,1
India Accelerator,https://www.indiaaccelerator.co/,India,Gurgaon,Industry Agnostic,"Abhay Chawla, Ashish Bhatia, Mona Singh",2017,39,
Venture University,https://www.venture.university/,United States,San Francisco,"Enterprise, FinTech",J. Skyler Fernandes,2018,39,3
DigitalCPR,https://www.digitalcpr.net/for-startups,Canada,Waterloo,"SaaS, Aerospace, Blockchain, eSports, Telecommunications Startups, Social Enterprises, Quantum Computing",Andrew Magdy Kamal,,39,
Superangel,https://superangel.io/,Estonia,Tallinn,"AI, Robotics, Mobility, Logistics, FinTech, SaaS","Marek Kiisa, Rain Rannu, Veljo Otsason",2018,39,
Breed Reply,http://www.breedreply.com,United Kingdom,London,"AI, Digital Workplace, Digital Transformation, Big Data, Blockchain, Cloud, Crm, Ecommerce, Industry 4.0, IoT, Quantum Computing, Security, Supply Chain, Code Automation, Gaming",,2014,39,2
LAUNCH,http://launch.co,United States,San Francisco,Industry Agnostic,Jason Calacanis,2011,38,2
"Comcast NBCUniversal LIFT Labs Accelerator, Powered by Techstars",https://www.techstars.com/programs/comcast-program/,United States,Philadelphia,Industry Agnostic,,2006,38,1
Tech Nation Fintech,https://technation.io/programmes/fintech/,United Kingdom,London,FinTech,,,38,3
Syddansk Innovation,https://www.syddanskinnovation.dk/,Denmark,Odense,"Cleantech, MedTech, FinTech, EdTech, AI",,,38,
Evergreen Climate Innovations,http://www.cleanenergytrust.org/,United States,Chicago,"Climate Tech, Energy","Amy Francetic, Michael Polsky, Nick Pritzker",2010,37,3
NEXEA Venture Capital & Angel Investors,https://www.nexea.co/venture-capital/,Malaysia,Kuala Lumpur,Technology,"Ben Lim, Noomi Fessler",2015,37,1
Open Network Lab,http://www.onlab.jp,Japan,Tokyo,"Life Science, Residential Technology, Blockchain, AI, VR, AR, Security, Bio-Health, Health, Energy, Safety, Mobility",,2010,37,3
FoodFutureCo,http://www.foodfuture.co,United States,New York,"Consumer Goods, Agriculture, Food Hub, AgTech, Supply Chain, FoodTech, Information Technology",Shen Tong,2015,37,
Spring Activator,http://spring.is/,Canada,Vancouver,Technology,Keith Ippel,2014,37,1
Chobani Food Incubator,https://www.chobani.com/impact/chobani-incubator/,United States,New York,"Food, Agriculture",Hamdi Ulukaya,2016,37,
Sting,http://www.sting.co,Sweden,Stockholm,"HealthTech, Climate Tech, DeepTech",Pär Hedberg,2002,37,
Fledge,http://fledge.co,United States,Seattle,Industry Agnostic,"Francesco Persivale, Luni Libes, Roberto Persivale",2012,36,
GSF,https://gsfaccelerator.com/,India,Gurgaon,"Consumer, Crypto, EdTech, Enterprise, FinTech, Healthcare",Rajesh Sawhney,2011,36,6
Z80 Labs Technology Incubator,http://z80labs.com,United States,Buffalo,"Software, Internet, Mobile, Digital Media Technology","Jordan Levy, Ron Schreiber",2012,36,1
MassChallenge Mexico,https://masschallenge.org/programs-mexico,Mexico,Mexico City,Industry Agnostic,,,36,
HATCH ventures,https://icics.ubc.ca/hatch/,Canada,Vancouver,"Social Impact, Technology",,2016,36,1
Katapult Accelerator,https://katapult.vc,Norway,Oslo,"AI, Blockchain, Technology, Impact Technology, Sustainability, Climate Tech, Ocean Tech, IoT, Biotech, Cleantech","Anders Lier, Haakon Brunell, Tharald Nustad",2017,36,1
Outlier Ventures Base Camp,https://outlierventures.io/base-camp/,United Kingdom,London,"Blockchain, Crypto, IoT, NFTs, Defi, Metaverse, Web3",,2019,36,
StartupLab,http://www.startuplab.no/,Norway,Oslo,"Mobility, Hardware, Energy, Data Science","Alexander Woxen, Karl-Christian Agerup",2012,36,1
Aurelia Ventures,https://aurelia.ventures,United States,Santa Barbara,"SaaS, Technology",,2016,35,
Canadian Technology Accelerator,https://www.tradecommissioner.gc.ca/cta-atc/index.aspx?lang=eng,Canada,Ottawa,"Cleantech, Information, Communications Technologies, Life Sciences, HealthTech",Christine Carr,2013,35,3
SparkLabs Taipei,http://www.sparklabstaipei.com/,Taiwan,Taipei,Industry Agnostic,"Bernard Moon, Edgar Chiu",2018,35,1
Nielsen Innovate,http://nif.vc/,Israel,Caesarea,"Retail, Research, Media Technologies",Esther Barak Landes,2013,35,4
LatAm Startups,https://www.latamstartups.biz/,Canada,Toronto,Industry Agnostic,Miryam Lazarte,2014,35,1
FinLab,https://www.finlab.de,Germany,Frankfurt,"FinTech, Blockchain",Christian Angermayer,2005,35,6
iStarter,http://www.istarter.it,United Kingdom,London,Industry Agnostic,,2012,35,3
IMT Starter,http://www.imt-starter.fr/,France,Évry,"Gaming, Big Data, VR, AI",,1999,35,3
Startupbootcamp Commerce Amsterdam,https://www.startupbootcamp.org/accelerator/commerce-amsterdam/,The Netherlands,Amsterdam,"AI, Blockchain, Technology, Impact Technology, Sustainability, Climate Tech, Ocean Tech, IoT, Biotech, Cleantech","Marc Wesselink, Patrick Zeeuw, Ruud Hendriks",2010,35,3
Tribe Accelerator,https://tribex.co/accelerator/,Singapore,Singapore,Blockchain,"Ryan Chew Zi Jie, Yi Ming Ng",2018,34,3
STANLEY +Techstars AI in Advanced Manufacturing,https://www.techstars.com/accelerators/stanley,United States,Hartford,Electrification,,2018,34,1
HAX,https://hax.co/program,United States,San Francisco,Hard Tech,,,34,
Climate-KIC Acceleration Programme,https://www.climate-kic.org/programmes/entrepreneurship/accelerator/,Germany,Berlin,"Cleantech, Climate, Environment, Agriculture, Transportation, Logistic, Clean City, Sustainability",,2012,34,1
Nanabianca,http://nanabianca.it,Italy,Florence,Information Technology,"Alessandro Sordi, Jacopo Marello, Paolo Barberis",2012,34,4
Startupbootcamp Smart City & IoT Amsterdam,https://www.startupbootcamp.org/accelerator/smart-city-iot-amsterdam/,The Netherlands,Amsterdam,"Agriculture, Energy, Water, Healthcare, Beauty, Education","Marc Wesselink, Patrick Zeeuw, Ruud Hendriks",2015,34,2
Co-Creation Hub Nigeria,http://cchubnigeria.com,Nigeria,Lagos,Industry Agnostic,Bosun Tijani,2010,33,
EY Startup Academy,https://startup.ey.com/en/academy/how-far-can-you-go-2,Germany,Frankfurt,FinTech,,,33,
NLC,https://nlc.health/,The Netherlands,Amsterdam,"Life Science, Medical Technology, Ehealth, Healthcare, Medical Devices, HealthTech",Bert-Arjan Millenaar,2014,33,
Petit Poucet,http://www.petitpoucet.fr,France,Paris,Industry Agnostic,,2001,33,3
Primer,http://www.primer.kr,South Korea,Seoul,"Mobile, Internet Services, Software, Healthcare",Douglas Guen,2010,32,2
FuturePlay,http://www.futureplay.co,South Korea,Seoul,"Robotics, Energy, Healthcare, Infrastructure Beauty, Blockchain, Real Estate, FinTech, Food VR, AR","Danny Yoon, Hoseok JUNG, Jaesun Han, Jung-hee Ryu, Sungjae Hwang",2013,32,
Slingshot Accelerator,http://www.slingshotters.com,Australia,Sydney,Industry Agnostic,"Craig Lambert, Trent Bagnall",2013,32,
Luma Launch,https://www.luma.inc,United States,Santa Monica,"Technology, Healthcare, Education, Climate","Francis Pollara, Laurent Grill, Matt Lydecker",2015,32,2
Virtual Network,https://www.virtual-network.com/,Switzerland,Nyon,Information Technology,Stephane Pictet,1997,32,9
Enry's Island,http://enrysisland.com,Italy,Pescara,Video Games,Luigi Valerio Rinaldi,2013,32,
Sberbank-500,https://www.sberbank-500.ru,Russia,Moscow,"AdTech, SaaS, Autonomous Vehicles, Cyber Security, Ecommerce, EdTech, Entertainment, Esg, FinTech, InsurTech, Legaltech, Mapping, MedTech, Metaverse, Defi, Proptech, Retail",,2017,32,
Techstars Paris,http://www.techstars.com/programs/paris-program/,France,Paris,Industry Agnostic,,2006,32,
X21 Digital,https://x21digital.com/,Singapore,Singapore,"Blockchain, FinTech",,2020,31,
MARL 5G Accelerator,https://www.marlaccelerator.com/,United States,Fremont,"Mobility, Autonomy, VR, AR, Robotics, Logistics, Cyber Security","Amir Khan, Prakash Goswami",2019,31,
AcceliCITY,https://leadingcities.org/,United States,Boston,"Technology, Climate Tech",,2010,31,
Target Accelerator,https://targetaccelerators.com/apply-now/,India,Bangalore,Industry Agnostic,Ravi Kanniganti,2014,31,3
NEOPLY,http://www.neoply.com,South Korea,Bundangdong,Blockchain,,2008,31,1
Techstars Sports Accelerator,https://www.techstars.com/programs/sports-program/,United States,Indianapolis,Sports Tech,,,31,
Purppl,http://purppl.com/,Canada,Kelowna,Industry Agnostic,,2015,31,1
